Type,Description,Comments,F1,Accuracy,Precision,Recall,Best_Dev_F1
Multimodal,DeBERTa + ALIGN,Caption BLIP2 + Fusion: proj_concat,86.047%,0.88,0.7928571428571428,0.940677966,0.918918919
Multimodal,DeBERTa + ALIGN,Caption BLIP2 + Fusion: mean,85.039%,0.8733333333333333,0.7941176470588235,0.9152542372881356,0.8759124087591241
Texto,DeBERTa,Baseline text only,84.848%,0.8666666666666667,0.7671232876712328,0.9491525423728814,0.8985507246376812
Multimodal,DeBERTa + BLIP,Fusion: weighted_mean,84.825%,0.87,0.7841726618705036,0.923728814,0.9051094890510949
Multimodal,DeBERTa + BLIP,Caption BLIP2 + Fusion: mean,84.733%,0.8666666666666667,0.7708333333333334,0.940677966,0.8874172185430463
Multimodal,DeBERTa + BLIP,Caption GIT + Fusion: weighted_mean,84.615%,0.8666666666666667,0.7746478873239436,0.9322033898305084,0.8970588235294118
Multimodal,DeBERTa + BLIP,Caption BLIP2 + Fusion: concat,84.585%,0.87,0.7925925925925926,0.9067796610169492,0.8571428571428571
Texto,DeBERTa,Text + Caption BLIP2,84.291%,0.8633333333333333,0.7692307692307693,0.9322033898305084,0.8776978417266187
Multimodal,DeBERTa + ALIGN,Caption BLIP2 + Fusion: concat,84.170%,0.8633333333333333,0.7730496453900709,0.923728814,0.8843537414965986
Multimodal,DeBERTa + ALIGN,Caption GIT + Fusion: concat,83.969%,0.86,0.7638888888888888,0.9322033898305084,0.85106383
Multimodal,DeBERTa + BLIP,Fusion: mean,83.594%,0.86,0.7753623188405797,0.9067796610169492,0.8805970149253731
Texto,DeBERTa,Text + Caption GIT,83.525%,0.8566666666666667,0.7622377622377622,0.923728814,0.8732394366197183
Multimodal,DeBERTa + BLIP,Caption GIT + Fusion: mean,83.459%,0.8533333333333334,0.75,0.940677966,0.8920863309352518
Multimodal,DeBERTa + ALIGN,Fusion: weighted_mean,83.333%,0.8533333333333334,0.7534246575342466,0.9322033898305084,0.8951048951048951
Multimodal,DeBERTa + ALIGN,Caption BLIP2 + Fusion: weighted_mean,83.206%,0.8533333333333334,0.7569444444444444,0.923728814,0.8805970149253731
Multimodal,DeBERTa + ALIGN,Fusion: concat,83.206%,0.8533333333333334,0.7569444444444444,0.923728814,0.920863309
Multimodal,DeBERTa + ALIGN,Fusion: proj_concat,83.146%,0.85,0.7449664429530202,0.940677966,0.9
Multimodal,DeBERTa + BLIP,Caption BLIP2 + Fusion: gated,83.137%,0.8566666666666667,0.7737226277372263,0.8983050847457628,0.8985507246376812
Multimodal,DeBERTa + ALIGN,Caption BLIP2 + Fusion: gated,83.077%,0.8533333333333334,0.7605633802816901,0.9152542372881356,0.8794326241134752
Multimodal,DeBERTa + BLIP,Fusion: gated,83.077%,0.8533333333333334,0.7605633802816901,0.9152542372881356,0.8888888888888888
Multimodal,DeBERTa + BLIP,Caption GIT + Fusion: proj_concat,82.946%,0.8533333333333334,0.7642857142857142,0.9067796610169492,0.8767123287671232
Multimodal,DeBERTa + ALIGN,Fusion: gated,82.946%,0.8533333333333334,0.7642857142857142,0.9067796610169492,0.9
Multimodal,DeBERTa + ALIGN,Fusion: mean,82.890%,0.85,0.7517241379310344,0.923728814,0.8888888888888888
Multimodal,DeBERTa + BLIP,Fusion: proj_concat,82.813%,0.8533333333333334,0.7681159420289855,0.8983050847457628,0.9
Multimodal,DeBERTa + ALIGN,Caption GIT + Fusion: proj_concat,82.784%,0.8433333333333334,0.7290322580645161,0.9576271186440678,0.9051094890510949
Multimodal,DeBERTa + BLIP,Caption GIT + Fusion: gated,82.576%,0.8466666666666667,0.7465753424657534,0.923728814,0.9090909090909091
Multimodal,DeBERTa + BLIP,Caption GIT + Fusion: concat,82.490%,0.85,0.762589928,0.8983050847457628,0.8857142857142857
Multimodal,DeBERTa + BLIP,Caption BLIP2 + Fusion: weighted_mean,82.308%,0.8466666666666667,0.7535211267605634,0.9067796610169492,0.9241379310344827
Multimodal,DeBERTa + ALIGN,Caption GIT + Fusion: mean,81.818%,0.84,0.7397260273972602,0.9152542372881356,0.8552631578947368
Multimodal,DeBERTa + BLIP,Fusion: concat,81.226%,0.8366666666666667,0.7412587412587412,0.8983050847457628,0.8840579710144928
Multimodal,DeBERTa + BLIP,Caption BLIP2 + Fusion: proj_concat,80.952%,0.84,0.7611940298507462,0.86440678,0.8840579710144928
Multimodal,DeBERTa + ALIGN,Caption GIT + Fusion: gated,80.882%,0.8266666666666667,0.7142857142857143,0.9322033898305084,0.8811188811188811
Multimodal,DeBERTa + ALIGN,Caption GIT + Fusion: weighted_mean,80.816%,0.8433333333333334,0.7795275590551181,0.8389830508474576,0.8857142857142857
